,BPI Branch,Latitude,Longitude
0,"BPI Katipunan Loyola Heights 325 Miranda Building, Fabian De La Rosa Katipunan Avenue",14.6401984,121.0742878
1,"BPI Blue Ridge Bonny Serrano 175 Citigold Plaza, Katipunan Avenue",14.6157534,121.0701073
3,"BPI Loyola Heights 317 FBR Arcade, Katipunan Avenue",14.6390686,121.0742228
4,"BPI Cubao Aurora, Aurora Boulevard",14.6236143,121.0539746
5,"BPI Timog-Circle, Timog Avenue",14.6366666,121.0281416
6,"BPI E. Rodriguez - Acropolis,",14.6034851,121.0788292
7,"BPI Eastwood One Lafayette, Eastwood Avenue",14.6086947,121.0798084
8,"BPI West Avenue-Del Monte, West Avenue",14.6419105,121.0265289
9,"BPI Family Savings Bank, P. Tuazon Boulevard",14.6181896,121.056727
10,"BPI Family Savings Bank, Colonel Boni Serrano Avenue",14.6093739,121.0483153
11,"BPI Family Savings Bank, Roosevelt Avenue",14.653897,121.0186601
12,"BPI UP Technohub,",14.6570027,121.0561102
13,"BPI, EDSA",14.657926,121.0208618
14,"BPI Cubao F. Castillo, Aurora Boulevard",14.6280704,121.0667237
15,"BPI West Avenue - Baler 105, West Avenue",14.6502799,121.028571
16,"BPI West Avenue - West Triangle 60 Veria, West Avenue",14.6440877,121.0275881
17,"BPI Acropolis 193 KAVI Building, E. Rodriguez Jr. Avenue",14.6085341,121.0772319
19,"BPI Villa Ortigas Villa Ortigas 2, Senator Jose O. Vera Street",14.607844,121.0391121
21,"BPI E. Rodriguez B.G. Belmonte 1466-1468, E. Rodriguez Sr. Avenue",14.6243848,121.038155
23,"BPI Roosevelt Del Monte, Fernando Poe Jr. Avenue",14.6405635,121.0166157
24,"BPI Shopwise Libis - Express Banking Center 150 Shopwise, E. Rodriguez Jr. Avenue",14.6039421,121.0800065
25,"BPI E. Rodriguez Bagumbayan MDC 100, E. Rodriguez Jr. Avenue",14.6077679,121.0791037
26,"BPI 235, Fernando Poe Jr. Avenue",14.6463671,121.0176816
27,"BPI Kamuning, Scout Delgado Tomas Morato Avenue",14.6303294,121.0340757
28,"BPI Family Savings Bank, Don Alejandro Roces Avenue",14.6327021,121.0202192
29,"BPI Aurora - Hemady 711 Santander Building, Doña Hemady Aurora Boulevard",14.6153309,121.0369851
30,"BPI, Quirino Highway",14.7000154,121.0346594
31,"BPI V. Luna - Kalayaan, V. Luna Road",14.6364468,121.0540206
32,"BPI UP Village Maginhawa, 63 Maginhawa",14.6481654,121.0571618
33,"BPI, Quirino Highway",14.6818314,121.0206716
34,"BPI Mayon-Dapitan, Mayon Street",14.6220247,120.9994936
36,"BPI E. Rodriguez - Hemady 269 Hemady Square, E. Rodriguez Sr. Avenue",14.6241865,121.031692
37,"BPI Family Savings Bank,",14.6402292,121.0316291
38,"BPI Eastwood City International Centre of Information Technology Education, Orchard Road",14.6110809,121.0803881
39,"BPI Manhattan, Cubao, Quezon City, General Roxas",14.6228809,121.0556949
40,"BPI 4F Ali Mall, General Romulo Avenue",14.6191934,121.057116
41,"BPI North EDSA 75, EDSA Corregidor Street",14.6571856,121.0243269
43,"BPI Family Savings Bank, N. S. Amoranto Sr. Avenue",14.6270868,120.992231
44,"BPI BPI Edsa Kamuning, Kamuning Road",14.6301172,121.0428055
45,"BPI, Timog Avenue",14.6334061,121.0410372
46,"BPI, Congressional Avenue",14.6661427,121.0314575
47,"BPI, Quezon Avenue",14.6212504,121.0052014
49,"BPI Cubao Annapolis, Annapolis",14.6227855,121.0512927
51,"BPI Family Bank, Anonas Street",14.633901,121.0591616
52,"BPI, E. Rodriguez Sr. Avenue",14.6178476,121.0041389
53,"BPI, Quezon Avenue",14.6192526,121.0036815
